Date,Home Team,Score,Away Team
23-12-2023,Trabzonspor,1 - 1,Buyuksehyr
06-01-2024,Buyuksehyr,0 - 0,Adana Demirspor
09-01-2024,Kasimpasa,0 - 3,Buyuksehyr
13-01-2024,Buyuksehyr,3 - 2,Alanyaspor
20-01-2024,Fatih Karagümrük,1 - 1,Buyuksehyr
24-01-2024,Buyuksehyr,0 - 1,Fenerbahce
28-01-2024,Konyaspor,2 - 3,Buyuksehyr
03-02-2024,Buyuksehyr,2 - 0,İstanbulspor
10-02-2024,Galatasaray,2 - 0,Buyuksehyr
19-02-2024,Buyuksehyr,2 - 3,Kayserispor
24-02-2024,Gaziantep BBK,0 - 2,Buyuksehyr
03-03-2024,Buyuksehyr,1 - 0,Samsunspor
09-03-2024,Buyuksehyr,1 - 0,Antalyaspor
16-03-2024,Ankaragucu,2 - 1,Buyuksehyr
04-04-2024,Buyuksehyr,1 - 1,Besiktas
14-04-2024,Pendikspor,2 - 3,Buyuksehyr
21-04-2024,Buyuksehyr,2 - 0,Rizespor
27-04-2024,Hatayspor,1 - 2,Buyuksehyr
05-05-2024,Buyuksehyr,4 - 1,Kasimpasa
12-05-2024,Sivasspor,0 - 1,Buyuksehyr
18-05-2024,Buyuksehyr,0 - 1,Trabzonspor
26-05-2024,Adana Demirspor,2 - 6,Buyuksehyr
14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
01-09-2023,Rizespor,1 - 0,Fatih Karagümrük
18-09-2023,Fatih Karagümrük,0 - 0,Hatayspor
23-09-2023,Pendikspor,1 - 1,Fatih Karagümrük
01-10-2023,Fatih Karagümrük,2 - 3,Kasimpasa
06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
29-10-2023,Fatih Karagümrük,0 - 0,Trabzonspor
05-11-2023,Konyaspor,1 - 1,Fatih Karagümrük
11-11-2023,Fatih Karagümrük,3 - 0,Sivasspor
26-11-2023,Fenerbahce,2 - 1,Fatih Karagümrük
01-12-2023,Fatih Karagümrük,3 - 0,İstanbulspor
09-12-2023,Antalyaspor,2 - 1,Fatih Karagümrük
20-12-2023,Galatasaray,1 - 0,Fatih Karagümrük
23-12-2023,Fatih Karagümrük,0 - 3,Gaziantep BBK
06-01-2024,Samsunspor,1 - 0,Fatih Karagümrük
10-01-2024,Fatih Karagümrük,4 - 1,Kayserispor
13-01-2024,Besiktas,3 - 0,Fatih Karagümrük
20-01-2024,Fatih Karagümrük,1 - 1,Buyuksehyr
24-01-2024,Ankaragucu,2 - 0,Fatih Karagümrük
28-01-2024,Fatih Karagümrük,4 - 0,Rizespor
02-02-2024,Hatayspor,3 - 1,Fatih Karagümrük
10-02-2024,Fatih Karagümrük,2 - 0,Pendikspor
16-02-2024,Kasimpasa,1 - 1,Fatih Karagümrük
25-02-2024,Fatih Karagümrük,1 - 1,Alanyaspor
04-03-2024,Adana Demirspor,1 - 0,Fatih Karagümrük
09-03-2024,Trabzonspor,5 - 1,Fatih Karagümrük
15-03-2024,Fatih Karagümrük,1 - 1,Konyaspor
03-04-2024,Sivasspor,1 - 0,Fatih Karagümrük
14-04-2024,Fatih Karagümrük,1 - 2,Fenerbahce
20-04-2024,İstanbulspor,1 - 2,Fatih Karagümrük
29-04-2024,Fatih Karagümrük,4 - 1,Antalyaspor
04-05-2024,Kayserispor,2 - 2,Fatih Karagümrük
12-05-2024,Fatih Karagümrük,2 - 3,Galatasaray
18-05-2024,Gaziantep BBK,3 - 1,Fatih Karagümrük
25-05-2024,Fatih Karagümrük,3 - 1,Samsunspor
13-08-2023,Fenerbahce,2 - 1,Gaziantep BBK
21-08-2023,Samsunspor,0 - 2,Fenerbahce
03-09-2023,Ankaragucu,0 - 1,Fenerbahce
17-09-2023,Fenerbahce,3 - 2,Antalyaspor
24-09-2023,Alanyaspor,0 - 1,Fenerbahce
28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
01-10-2023,Fenerbahce,5 - 0,Rizespor
08-10-2023,Kasimpasa,0 - 2,Fenerbahce
22-10-2023,Fenerbahce,4 - 2,Hatayspor
29-10-2023,Pendikspor,0 - 5,Fenerbahce
04-11-2023,Fenerbahce,2 - 3,Trabzonspor
12-11-2023,Adana Demirspor,0 - 0,Fenerbahce
26-11-2023,Fenerbahce,2 - 1,Fatih Karagümrük
04-12-2023,Fenerbahce,4 - 1,Sivasspor
09-12-2023,Besiktas,1 - 3,Fenerbahce
